Name,Content,Category
How do I reset my password?,"Go to Settings > Security > Reset Password. You'll receive an email with a reset link, valid for 24 hours.",Account
How do I change my email address?,"Go to Settings > Account > Email, enter the new address, and confirm via the verification link sent to it.",Account
How do I delete my account?,Go to Settings > Account > Delete Account. This is permanent and removes all your data after a 14-day grace period.,Account
Can I have multiple users on one account?,"Yes, Team and Business plans support multiple users. Go to Settings > Team to invite members.",Account
How do I change my username?,Go to Settings > Profile > Username. Usernames can be changed once every 30 days.,Account
"I didn't receive my verification email, what should I do?","Check your spam folder first. If it's not there, click 'Resend verification email' on the login page. Emails can take up to 10 minutes to arrive.",Account
How do I enable two-factor authentication?,Go to Settings > Security > Two-Factor Authentication and follow the setup instructions using an authenticator app.,Account
Can I merge two accounts?,"We don't support automatic account merging, but our support team can manually transfer data between accounts on request.",Account
How do I update my profile picture?,"Go to Settings > Profile > Photo and upload a new image. Supported formats are JPG and PNG, up to 5MB.",Account
What happens to my data if I cancel my account?,"Your data is retained for 30 days after cancellation in case you want to reactivate, then permanently deleted.",Account
How do I change my account's time zone?,Go to Settings > Preferences > Time Zone and select your local time zone from the dropdown.,Account
Can I use the same email for two accounts?,"No, each email address can only be linked to one account. Use a different email or delete the existing account first.",Account
How do I log out of all devices?,Go to Settings > Security > Active Sessions and click 'Log out of all devices'.,Account
Why is my account locked?,Accounts are temporarily locked after 5 failed login attempts for security. Wait 15 minutes or reset your password to unlock it.,Account
How do I transfer account ownership?,"Go to Settings > Team > Ownership Transfer. Only the current owner can initiate this, and the new owner must accept via email.",Account
What's your refund policy?,"Refunds are available within 30 days of purchase, processed to the original payment method within 5-7 business days.",Billing
How do I cancel my subscription?,Go to Settings > Billing > Cancel Plan. Your access continues until the end of the current billing period.,Billing
Do you offer a free trial?,"Yes, all new accounts get a 14-day free trial with full feature access, no credit card required.",Billing
What payment methods do you accept?,"We accept all major credit cards, PayPal, and for annual plans, bank transfer on request.",Billing
How do I update my payment method?,Go to Settings > Billing > Payment Method and enter your new card details.,Billing
